Регулировка0.1 От номинального [V];Регулировка0.2 От номинального [V];Регулировка0.3 От номинального [V];Регулировка0.4 От номинального [V]; Регулировка0.5 От номинального [V];Регулировка0.6 От номинального [V];Регулировка0.7 От номинального [V];
0;0;0;0;0;0;0;
0;5.490869;8.332679;11.17047;13.99289;16.57755;19.55782;
0;0;0;0;0;0;0;
0;0;8.356322;11.192;13.9241;16.62773;19.59002;
0;0;0;0;0;0;0;
0;5.458453;8.224541;11.13624;13.98726;16.21908;19.51717;
0;0;0;0;0;0;0;
0;4.932552;8.391705;11.15597;13.85544;16.73571;19.5563;
0;0;0;0;0;0;0;
0;5.283713;8.20845;10.95109;13.74761;16.23816;18.94308;
0;0;0;0;0;0;0;
0;5.49955;8.369188;11.0021;13.96543;16.3191;19.52229;
0;0;0;0;0;0;0;
0;5.147896;8.382976;10.26834;13.52349;14.51824;19.50243;
0;0;0;0;0;0;0;
0;5.458345;7.456712;10.58186;12.95492;16.6693;18.51501;
0;0;0;0;0;0;0;
0;5.330008;8.213905;11.19427;13.90487;16.46587;19.5436;
2.793963;4.077298;8.323026;10.90809;13.89622;16.6956;19.55246;
2.795211;5.514433;8.38556;11.19888;13.88924;16.55238;19.45205;
2.378096;5.540368;8.042369;11.15925;13.52181;16.75019;19.48439;
2.762779;5.504171;8.316468;11.18302;13.91021;16.60622;19.57404;
