Серийный номер;Выходное напряжение (без нагрузки) [В];Выходное напряжение при Vin176 [В];Выходное напряжение при Vin230 [В];Выходное напряжение при Vin242 [В];Выходное напряжение(половина нагрузки) при Vin230 [В];LineReg [%];LoadReg [%];LoadReg + LineReg [%];Пульсации при Vin176 [мВp-p];Пульсации при Vin230 [мВp-p];Пульсации при Vin242 [мВp-p];ПульсацииRMS [мВ];КПД при Vin176 [В];КПД при Vin230 [В];КПД при Vin242 [В];Напряжение отключения [В];PF при VinMin(без нагрузки);PF при VinNom(без нагрузки);PF при VinMax(без нагрузки);PF при VinMin(под нагрузкой);PF при VinNom(под нагрузкой);PF при VinMax(под нагрузкой)
54920723;47.953;47.872;47.875;47.891;47.926;0.033;0.163;0.196;75.9;87.9;92.0;28.июн;86.7;88.0;88.2;2;0.609;0.249;0.222;0.991;0.957;0.915
54890723;47.983;47.91;47.911;47.917;47.949;0.013;0.15;0.163;136.0;132.0;136.0;17.апр;86.7;87.9;88.1;2;0.589;0.255;0.029;0.991;0.958;0.919
54900723;48.032;47.959;47.962;47.967;48.003;0.01;0.146;0.156;112.0;116.0;108.0;13.сен;87.1;88.3;88.4;2;0.427;0.247;0.231;0.99;0.955;0.908
54910723;48.059;47.982;47.985;47.993;48.032;0.017;0.154;0.17099999999999999;84.0;100.0;79.9;13.сен;86.7;87.9;88.1;2;0.598;0.257;0.253;0.991;0.956;0.912
54850723;48.043;47.972;47.974;47.976;48.013;0.004;0.144;0.148;116.0;120.0;120.0;15.май;86.8;88.1;88.2;2;0.539;0.251;0.252;0.991;0.958;0.916
54860723;48.01;47.939;47.938;47.936;47.982;0.004;0.15;0.154;52.0;48.0;56.0;06.сен;87.1;88.1;88.2;2;0.34;0.243;0.029;0.991;0.957;0.911
54880723;48.086;48.015;48.017;48.02;48.057;0.006;0.144;0.15;68.0;52.0;56.0;06.сен;86.6;87.9;88.1;2;0.61;0.251;0.24;0.991;0.956;0.911
54820723;48.001;47.93;47.933;47.937;47.972;0.008;0.142;0.15;96.0;108.0;104.0;17.9;86.7;87.9;88.0;2;0.568;0.251;0.224;0.991;0.957;0.916
54830723;47.953;47.877;47.889;47.877;47.913;0.025;0.134;0.159;68.0;68.0;79.9;26.5;86.7;87.9;88.1;2;0.56;0.244;0.029;0.991;0.958;0.919
54840723;48.018;47.947;47.951;47.954;47.992;0.008;0.14;0.14800000000000002;108.0;120.0;108.0;13.9;86.8;88.1;88.2;2;0.559;0.239;0.026;0.99;0.956;0.912
